1.54062	0.92	1.22
1.54062	0.92	1.22
1.54062	0.92	1.22
1.54062	0.92	1.22
1.54062	0.92	1.22
1.54062	0.92	1.22
1.09	1.39	-0.01992
1.09	1.39	0.01992
1.09	1.39	-0.00479
1.09	1.39	0.00479
1.09	1.39	0.00479
1.09	1.39	-0.00479
8.23608	6.71	8.23
8.23608	6.71	8.23
8.23608	6.71	8.23
8.23608	6.71	8.23
8.23608	6.71	8.23
8.23608	6.71	8.23
7.1	7.82	8.71
7.1	7.82	8.71
7.1	7.82	8.71
7.1	7.82	8.71
7.1	7.82	8.71
7.1	7.82	8.71
-1.36515	-1.21	-6.82
-1.36515	-1.21	-6.82
-1.36515	-1.21	-6.82
-1.36515	-1.21	-6.82
-1.36515	-1.21	-6.82
-1.36515	-1.21	-6.82
-1.36515	-1.21	-6.82
-1.36515	-1.21	-6.82
-1.46	-5.51	-1.27
-1.46	-5.51	-1.27
-1.46	-5.51	-1.27
-1.46	-5.51	-1.27
-1.46	-5.51	-1.27
-1.46	-5.51	-1.27
-1.46	-5.51	-1.27
-1.46	-5.51	-1.27
-1.85	-5.14	-1.08
-1.85	-5.14	-1.08
-1.85	-5.14	-1.08
-1.85	-5.14	-1.08
-1.85	-5.14	-1.08
-1.85	-5.14	-1.08
-1.85	-5.14	-1.08
-1.85	-5.14	-1.08
-1.24	-1.32	-6.74
-1.24	-1.32	-6.74
-1.24	-1.32	-6.74
-1.24	-1.32	-6.74
-1.24	-1.32	-6.74
-1.24	-1.32	-6.74
-1.24	-1.32	-6.74
-1.24	-1.32	-6.74
-5.13	-1.86	-1.09
-5.13	-1.86	-1.09
-5.13	-1.86	-1.09
-4.49	-2.47	-1.29
-4.49	-2.47	-1.29
-4.49	-2.47	-1.29
-4.49	-2.47	-1.29
-4.49	-2.47	-1.29
-3.5	-3.48	-1.09
-3.5	-3.48	-1.09
-3.5	-3.48	-1.09
-3.5	-3.48	-1.09
-3.5	-3.48	-1.09
-3.5	-3.48	-1.09
-3.5	-3.48	-1.09
-3.5	-3.48	-1.09
4.58	4.58	0.37
4.58	4.58	0.37
4.58	4.58	0.37
4.58	4.58	0.37
4.58	4.58	0.37
4.58	4.58	0.37
4.58	4.58	0.37
4.58	4.58	0.37
